"BioGroup","Species","CellType","Harvest","DrugGroup","HasTPA","TPADose","TPATime","HasMungBean"
"K562","human","K562","Culture","none","N","none","none","N"
"K562TPAnone","human","K562","Culture","TPA","N","none","none","N"
"K562TPA15min","human","K562","Culture","TPA","Y","16uM","15min","N"
"K562TPA1hr","human","K562","Culture","TPA","Y","16uM","1hr","N"
"K562TPA2hr","human","K562","Culture","TPA","Y","16uM","2hr","N"
"K562TPA24hr","human","K562","Culture","TPA","Y","16uM","24hr","N"
"HumanAstroCulture","human","Astro","Culture","none","N","none","none","N"
"HumanNeuronCulture","human","Neuron","Culture","none","N","none","none","N"
"HumanInterneuronCulture","human","Interneuron","Culture","none","N","none","none","N"
"MouseAstroCulture","mouse","Astro","Culture","none","N","none","none","N"
"MouseNeuronCulture","mouse","Neuron","Culture","none","N","none","none","N"
"MouseNeuronSlice","mouse","Neuron","Slice","none","N","none","none","N"
"MouseInterneuronSlice","mouse","Interneuron","Slice","none","N","none","none","N"
"MouseLungEpithelialCulture","mouse","LungEpithelial","Culture","none","N","none","none","N"
"MouseLungEndothelialCulture","mouse","LungEndothelial","Culture","none","N","none","none","N"
"MouseKidneyEpithelialCulture","mouse","KidneyEpithelial","Culture","none","N","none","none","N"
"MouseCardiomyoCulture","mouse","Cardiomyo","Culture","none","N","none","none","N"
"MouseCardiomyoSlice","mouse","Cardiomyo","Slice","none","N","none","none","N"
"RatCardiomyoCulture","rat","Cardiomyo","Culture","none","N","none","none","N"
"NoCell","none","none","none","none","N","none","none","N"
"K562MungBean","human","K562","Culture","none","N","none","none","Y"
"HBR","human","Brain","none","none","N","none","none","N"